,artiste,has_tweet,followers,fav,retweet,nbre tweet,tweet_freq
0,Soundtrack,True,45859,9860,1750,14919,1.102683780630105
1,Drake,True,37418151,5075196,3595975,1718,0.6071428571428571
2,Various Artists,False,0,0,0,0,0.0
3,Eminem,True,22428522,7265391,1783998,860,2.573304157549234
4,The Weeknd,True,9802988,9171228,2732287,2984,2.1182033096926713
5,Kendrick Lamar,True,11222755,4685557,1733195,4291,1.040983606557377
6,Bruno Mars,True,42087430,2589814,387035,4482,6.641025641025641
7,Ed Sheeran,True,19349390,5616113,1167779,29283,9.861313868613138
8,J. Cole,True,11651970,13333670,4846438,2686,1.0861088545897644
9,Imagine Dragons,True,5984292,1466358,245759,8167,8.4
10,Michael Jackson,True,2181860,905571,216446,2174,5.093283582089552
11,Taylor Swift,True,83132664,6014979,1627515,99,1.6136363636363635
12,Luke Bryan,True,9679538,324836,62834,5022,8.3125
13,Adele,True,27975135,4612007,1627811,308,0.5247295208655333
14,Blake Shelton,True,20672390,744406,125019,10899,6.5
15,Florida Georgia Line,True,2036354,150702,20457,18936,4.576923076923077
16,Metallica,True,5709461,418569,79452,3477,17.0
17,twenty one pilots,True,3761102,9175827,2339730,3087,1.7602941176470588
18,The Beatles,True,3669854,110505,30864,3307,7.8076923076923075
19,Future,True,11253,198,97,1702,2.2638297872340427
20,Beyonce,True,14804979,585848,346976,11,0.03401060070671378
21,Kanye West,True,28670754,3453627,565908,804,15.217391304347826
22,Zac Brown Band,True,1696242,118164,16087,4839,8.174193548387096
23,Chris Stapleton,True,277390,141468,20265,3385,2.7763713080168775
24,Panic! At The Disco,True,2914911,3261105,447659,3666,7.283783783783784
25,G-Eazy,True,3672450,1441827,233514,31715,6.134408602150538
26,Sam Smith,True,7855187,2448817,342649,13534,5.4404145077720205
27,Shawn Mendes,True,20270290,18174646,3034186,14558,8.814814814814815
28,Thomas Rhett,True,2328104,1514504,104992,5863,3.788778877887789
29,Logic,True,2437028,2742590,516240,79462,8.448275862068966
30,Lana Del Rey,True,9171433,5549008,1545669,124,0.22685185185185186
31,Carrie Underwood,True,8394814,788668,88592,4503,7.528301886792453
32,Halsey,True,9844543,5989977,925030,13502,29.75
33,Queen,True,1602857,385352,113138,7707,9.538461538461538
34,Lil Uzi Vert,True,5115678,5037802,1212185,13933,3.3128342245989306
35,Maroon 5,True,14667206,229705,39131,6396,9.172413793103448
36,The Chainsmokers,True,3471756,497471,95518,467,11.273684210526316
37,Ariana Grande,True,59127326,19196437,2580977,43001,99.0
38,Fleetwood Mac,True,159504,30912,11807,230,0.37855787476280833
39,Bob Marley And The Wailers,False,0,0,0,0,0.0
40,Journey,True,251359,65991,11608,1726,1.7686453576864536
41,2Pac,True,448984,239142,104324,1425,1.1775700934579438
42,Original Broadway Cast Recording,False,0,0,0,0,0.0
43,Sam Hunt,True,583723,34553,10081,48,0.33237410071942447
44,Eric Church,True,2081563,262957,65658,816,1.1194605009633911
45,Bryson Tiller,True,2427534,5769644,1619632,1684,2.2290502793296088
46,Creedence Clearwater Revival Featuring John Fogerty,False,0,0,0,0,0.0
47,Guns N' Roses,True,6208253,495150,88814,7989,6.517241379310345
48,Rae Sremmurd,True,740964,11628,2085,14378,3.5
49,Sia,True,3764696,1019538,221753,16090,5.913043478260869
50,Travis Scott,True,4421677,8597431,1807679,852,9.705882352941176
51,Five Finger Death Punch,True,653722,120216,19319,7084,5.545454545454546
52,Kevin Gates,True,966997,1000149,579782,8465,1.3903002309468822
53,Fall Out Boy,True,3242605,798228,96348,4913,6.134831460674158
54,Kidz Bop Kids,True,13718,2248,684,10482,9.301369863013699
55,Red Hot Chili Peppers,True,2576206,550294,99020,1525,3.8780487804878048
56,Eagles,True,3374124,151860,39739,46803,109.66666666666667
57,Hozier,True,689661,461215,72982,3152,6.631578947368421
58,AC/DC,True,311886,120018,42979,672,5.0814814814814815
59,Jason Aldean,True,3703529,331604,37811,17961,5.420353982300885
60,Justin Bieber,True,104581825,27958289,9344715,30524,1.4340974212034383
61,Meghan Trainor,True,2200710,52538,11999,12513,14.25925925925926
62,Childish Gambino,False,0,0,0,0,0.0
63,Big Sean,True,14591856,3001537,965108,20267,2.885793871866295
64,Elton John,True,723074,119342,31217,4392,17.027027027027028
65,XXXTENTACION,True,2099029,5167204,1849141,53500,0.9292803970223326
66,Tim McGraw,True,3013078,151667,16764,180,8.777777777777779
67,Rihanna,True,88353744,9753615,1681753,10209,3.4363636363636365
68,Lauren Daigle,True,94015,92560,13667,3676,7.285714285714286
69,Billy Joel,True,257015,84760,14833,1129,5.833333333333333
70,One Direction,True,31024421,12916723,5965552,9893,1.3527885862516213
71,Pentatonix,True,981127,147078,18672,18556,24.31578947368421
72,The Lumineers,True,492387,110076,14402,5061,4.170212765957447
73,Keith Urban,True,4258042,302748,36200,7696,9.491525423728813
74,Chris Brown,True,29185821,3660438,600500,4305,6.382352941176471
75,Migos,True,2598116,862526,318878,103346,1.5789473684210527
76,Nicki Minaj,True,20503981,1981153,459639,41758,22.05
77,Charlie Puth,True,2702234,3392847,528200,692,12.703703703703704
78,The Notorious B.I.G.,True,1128447,176149,15057,5754,2.671597633136095
79,Old Dominion,True,264916,84603,7747,6815,10.390625
80,Post Malone,True,4536380,8361228,1467985,7667,7.325581395348837
81,Cole Swindell,True,658339,64243,10203,20851,19.193548387096776
82,Kodak Black,True,2387100,796667,285321,16315,14.875
83,Frank Ocean,False,0,0,0,0,0.0
84,Linkin Park,True,6171955,1017480,269732,6306,1.7811704834605597
85,Nirvana,True,923003,142452,42043,939,1.1666666666666667
86,Chance The Rapper,True,7957375,953828,163539,43157,9.333333333333334
87,Jon Pardi,True,266221,158417,12422,8433,4.461267605633803
88,A$AP Rocky,True,2351930,1231731,374979,158,1.5082872928176796
89,Katy Perry,True,106883463,3003574,488099,9323,6.313084112149533
90,Dierks Bentley,True,2659842,99269,16502,7960,4.820359281437126
91,Melanie Martinez,True,1044507,284583,75449,36,0.19230769230769232
92,Kenny Chesney,True,2716401,404006,87463,1424,2.8157303370786515
93,Kane Brown,True,1472966,576154,118749,3212,9.281481481481482
94,Frank Sinatra,True,42935,59384,15429,646,3.0867469879518072
95,A Boogie Wit da Hoodie,False,0,0,0,0,0.0
96,Led Zeppelin,True,664238,139117,77511,199,0.6064204045734388
97,Kelsea Ballerini,True,874726,112381,15603,15125,37.84375
98,Prince,True,324638,306994,125201,740,16.011494252873565
99,Foo Fighters,True,3048394,221457,33474,3304,7.269230769230769
100,Maren Morris,True,548701,380540,48759,9757,13.67816091954023
101,YoungBoy Never Broke Again,False,0,0,0,0,0.0
102,Alessia Cara,True,1292970,607849,82598,19381,15.065217391304348
103,Demi Lovato,True,56750127,6743348,1205107,17073,25.14814814814815
104,Meek Mill,True,6923751,259848,87465,9794,62.3
105,DJ Khaled,True,4218812,203398,25986,93018,40.515151515151516
106,Brett Young,True,127567,84089,11118,9947,3.5
107,Khalid,True,2462035,375186,46060,55611,67.84615384615384
108,Coldplay,True,23804252,611581,166890,7389,2.7191601049868765
109,Gucci Mane,True,6819202,1948339,884184,19469,8.166666666666666
110,Brantley Gilbert,True,1513134,201980,38010,1714,2.5944055944055946
111,Drake & Future,False,0,0,0,0,0.0
112,Disturbed,True,718397,178420,31267,1507,4.891891891891892
113,Tom Petty And The Heartbreakers,True,437284,385220,132939,4995,2.791411042944785
114,Wiz Khalifa,True,33568160,1441115,395070,44504,3.4244604316546763
115,5 Seconds Of Summer,True,12552762,3616102,952350,27297,5.260869565217392
116,Chris Young,True,39904,25115,6116,1368,1.0551470588235294
117,Elvis Presley,True,271702,175385,49937,7150,1.936426116838488
118,Kelly Clarkson,True,12241371,677115,77573,7186,9.991935483870968
119,Fetty Wap,True,764710,48161,12671,5970,2.283333333333333
120,Russ,True,1926006,1065300,173754,37764,40.87096774193548
121,Lorde,True,7811116,31856,4986,2,14.0
122,Josh Groban,True,924196,91053,9299,25122,32.064516129032256
123,BTS,True,17113482,215575236,75087240,11286,15.451219512195122
124,Little Big Town,True,1225582,65370,5106,11836,5.035087719298246
125,Lady Gaga,True,77173244,6952169,1350545,8895,4.154471544715447
126,James Bay,True,443335,302349,51705,6533,6.7537688442211055
127,Playboi Carti,True,790509,1702745,658438,7626,0.3569078947368421
128,Luke Combs,True,225638,519683,96791,9407,6.252808988764045
129,Fifth Harmony,True,5145814,1770831,513975,13502,4.688679245283019
130,David Bowie,True,953439,195288,52591,1790,4.136363636363637
131,Selena Gomez,True,56929181,9679490,2464371,4375,2.089005235602094
132,Miranda Lambert,True,7134212,457449,41941,3870,2.2706935123042506
133,Johnny Cash,True,23143,23495,10107,728,1.1812004530011324
134,Bob Seger & The Silver Bullet Band,True,78948,33911,6554,1423,2.701492537313433
135,Flo Rida,True,5266052,8187,1423,23851,2.7596153846153846
136,SZA,True,2500041,3763981,1054859,6516,6.713450292397661
137,The 1975,True,1953189,1295809,248213,5980,10.368421052631579
138,Ozuna,False,0,0,0,0,0.0
139,6LACK,True,590765,587837,134396,154873,11.271186440677965
140,Major Lazer,True,1945413,75439,16796,15667,12.833333333333334
141,Calvin Harris,True,12861244,486112,62076,1010,4.933333333333334
142,X Ambassadors,True,103731,18545,2849,7345,3.4239130434782608
143,Lil Yachty,True,4512282,1810002,367384,50314,22.302325581395348
144,Lil Baby,True,389360,1653531,702139,403,3.2192513368983957
145,Dr. Dre,True,2839856,180633,127727,181,0.3569482288828338
146,Trippie Redd,True,620702,852351,203870,150,0.797558494404883
147,Young Thug,True,3246247,2100489,683370,50797,5.923076923076923
148,P!nk,True,31909373,1380065,110191,7148,6.253807106598985
149,Dua Lipa,True,2703346,2766601,423749,8850,16.333333333333332
150,OneRepublic,True,3541582,230885,37376,14340,5.150943396226415
151,Jason Derulo,True,3934900,234075,39451,15237,6.5
152,Elle King,True,62598,28877,4074,8019,1.4499424626006905
153,Garth Brooks,True,441294,209577,34044,3213,3.2666666666666666
154,Green Day,True,5143356,723793,156978,1982,1.7789256198347108
155,Bebe Rexha,True,1190376,826031,116578,7452,15.2
156,21 Savage & Metro Boomin,False,0,0,0,0,0.0
157,Mumford & Sons,True,695292,106978,14421,1149,17.11111111111111
158,NF,True,337894,1384148,355202,7399,3.306954436450839
159,Lynyrd Skynyrd,True,156455,27077,6675,2850,1.3768382352941178
160,Bon Jovi,True,3007130,409752,101647,3738,4.53125
161,Ty Dolla $ign,True,1512668,647484,139250,23772,8.555555555555555
162,The Rolling Stones,True,3281156,251601,54519,12260,6.321212121212121
163,Casting Crowns,True,564595,70087,13634,3058,3.1307339449541285
164,WALK THE MOON,True,210019,93554,11535,7804,5.286919831223629
165,2 Chainz,True,4177001,89058,21530,35028,16.646341463414632
166,Jeremih,True,928657,8411,2309,165,1.0710382513661203
167,Trans-Siberian Orchestra,True,29194,6657,2099,966,1.1495246326707
168,Pink Floyd,True,3183266,444972,98745,1597,4.0
169,Trey Songz,True,13787320,1054030,307536,13752,3.1531531531531534
170,"Tyler, The Creator",True,7987659,7241029,1378221,40198,6.4916201117318435
171,Rachel Platten,True,144824,87531,10164,13482,4.309375
172,Daniel Caesar,True,298988,547323,103075,2559,2.851063829787234
173,Nick Jonas,True,13651426,2876354,358507,4739,5.344086021505376
174,NAV,True,502532,2689491,967482,577,2.406708595387841
175,Arctic Monkeys,True,1715289,1234015,394519,673,0.727780883174958
176,David Guetta,True,21449657,57228,8815,4915,12.104166666666666
177,Tove Lo,True,382206,197856,39643,3833,3.9034267912772584
178,Kid Rock,True,560164,393258,67158,1555,4.4504792332268375
179,Portugal. The Man,True,128405,6676,946,6944,26.8
180,MercyMe,True,423601,48166,5602,4596,3.6135135135135137
181,James Arthur,True,2216558,67771,11274,16044,19.17391304347826
182,Alabama Shakes,True,180937,22454,4445,1856,0.8498402555910544
183,Brett Eldredge,True,1298263,185073,19600,14045,19.718309859154928
184,Chris Tomlin,True,1021368,146015,28021,5417,13.926315789473684
185,H.E.R.,True,1132514,431922,86597,8402,5.226244343891403
186,PnB Rock,True,404870,95316,30658,30669,4.333333333333333
187,Troye Sivan,True,8691650,2984749,332721,16653,39.4
188,Daya,True,152276,64907,9438,6096,4.167763157894737
189,Greta Van Fleet,True,90071,134657,20256,2863,11.17910447761194
190,blackbear,True,1879704,8725092,3076190,2142,3.5702005730659025
191,Billie Eilish,True,774756,1738797,270244,1784,3.47244094488189
192,21 Savage,True,2682748,5391915,2151645,13747,1.5142857142857142
193,Ellie Goulding,True,7034988,146182,20973,16144,13.64102564102564
194,Miguel,True,1029871,351827,67774,25052,6.103448275862069
195,Nathaniel Rateliff & The Night Sweats,False,0,0,0,0,0.0
196,Jhene Aiko,True,1617201,1014137,273956,1132,12.88
197,"21 Savage, Offset & Metro Boomin",False,0,0,0,0,0.0
198,Nickelback,True,751419,61535,8578,14050,8.012048192771084
199,John Legend,True,12276516,1172272,141688,12728,36.3125
200,Michael Buble,True,2325973,273241,42761,2499,1.407358738501971
201,Harry Styles,True,32973899,53453007,20925613,5489,1.2857142857142858
202,Tee Grizzley,True,340762,216529,58822,8150,5.848101265822785
203,Mariah Carey,True,20442742,686040,150092,8276,32.43333333333333
204,Vance Joy,True,169752,123645,14134,2729,4.741035856573705
205,Mark Ronson,True,550480,152647,35774,5519,6.234375
206,Jon Bellion,True,1592038,1622555,309163,15441,2.1319796954314723
207,Simon & Garfunkel,False,0,0,0,0,0.0
208,Chase Rice,True,1095611,304320,27910,18042,3.4317548746518107
209,Camila Cabello,True,7544270,10226647,2079961,12442,24.705882352941178
210,Andy Grammer,True,161192,29966,3540,12949,9.757575757575758
211,Lil Skies,True,518982,942575,240893,6771,0.7911877394636015
212,Lil Dicky,True,476706,713965,91206,14558,4.554216867469879
213,Lady Antebellum,True,2473985,71474,11317,7329,4.917355371900826
214,A$AP Ferg,True,843674,181544,46099,13748,2.5080213903743314
215,Gunna,True,222420,591344,211190,5455,1.7392638036809815
216,DNCE,True,331724,170500,33226,3378,4.76
217,Kid Cudi,True,1935638,3205638,856848,11839,1.33248730964467
218,Tory Lanez,True,1408394,216070,75839,359,3.5
219,Mac Miller,True,8714598,2049449,603302,229,5.058064516129032
220,Neil Diamond,True,860302,106454,23421,626,0.7935222672064778
221,N.W.A,True,531779,38439,29116,23987,30.153846153846153
222,Yo Gotti,True,1707045,26682,6558,27455,5.511811023622047
223,Lukas Graham,True,200854,10163,1258,13900,31.76923076923077
224,Amy Winehouse,True,557073,23450,26644,145,0.6533333333333333
225,YFN Lucci,False,0,0,0,0,0.0
226,George Ezra,True,712931,314143,32057,12925,7.70440251572327
227,DJ Snake,True,1428985,393069,91537,22140,21.358974358974358
228,Flume,True,468587,513027,78807,2093,2.2066549912434326
229,Tori Kelly,True,1307677,1041841,208995,29403,1.6556016597510372
230,Brothers Osborne,True,141741,79410,6595,10857,12.163934426229508
231,for KING & COUNTRY,True,124440,47018,5912,21274,17.64
232,6ix9ine,True,401008,926805,212385,107,2.2958199356913185
233,Bing Crosby,True,5460,1672,320,5505,2.3064250411861615
234,D.R.A.M.,False,0,0,0,0,0.0
235,YG,True,3153350,2602093,871253,36435,4.0048076923076925
236,Dan + Shay,True,434908,104268,10887,21554,27.63157894736842
237,Pitbull,True,26282838,646113,161327,7697,4.9743589743589745
238,Blink-182,True,1638189,48260,6619,5521,4.2924528301886795
239,Joey + Rory,True,48763,7006,1118,1350,0.7007007007007007
240,Kaleo,True,46993,68232,7363,1157,3.6481481481481484
241,Kacey Musgraves,True,523844,320432,33347,1481,13.236363636363636
242,Skrillex & Diplo,False,0,0,0,0,0.0
243,Usher,True,12378457,453312,74810,5787,3.0172413793103448
244,ScHoolboy Q,True,2493107,637708,234141,22050,1.1556603773584906
245,tobyMac,True,612835,75592,8080,4640,7.114754098360656
246,My Chemical Romance,True,1164692,753933,409020,441,0.5580159433126661
247,Breaking Benjamin,True,324251,128367,25719,1081,2.278797996661102
248,Vince Guaraldi Trio,False,0,0,0,0,0.0
249,Cam,True,200908,21942,3035,8625,10.68421052631579
250,Bazzi,True,267241,2100068,472452,17410,7.809248554913295
251,Kesha,True,3534809,452901,77963,6964,7.859649122807017
252,Alan Jackson,True,574502,83655,22878,1776,1.3596358118361154
253,Rick Ross,True,4280193,525338,268948,60159,13.311475409836065
254,AJR,True,141291,374997,49791,12983,4.339483394833948
255,Cardi B,True,4195926,301021,26177,21974,8.615384615384615
256,Moneybagg Yo,False,0,0,0,0,0.0
257,Kiiara,True,53484,23240,3073,7041,18.11111111111111
258,Juan Gabriel,True,199957,119179,39428,757,1.1122082585278277
259,Macklemore,True,2611944,141183,20671,18576,2.803763440860215
260,gnash,True,263835,49744,14828,11843,21.482758620689655
261,Justin Timberlake,True,64571214,1787637,185743,4050,3.5
262,George Strait,True,337064,153071,45393,519,1.1653543307086613
263,Mike Posner,True,605223,98860,19105,16269,2.756923076923077
264,Iggy Azalea,True,7924947,644162,86927,47907,9.35344827586207
265,Leon Bridges,True,100154,39182,5758,4184,5.526315789473684
266,Lee Brice,True,1012926,42403,3391,6522,6.777070063694268
267,Echosmith,True,207700,44352,5687,26863,10.559322033898304
268,Omarion,True,1287837,40178,10979,27337,9.153846153846153
269,"Earth, Wind & Fire",True,86185,189429,97899,5893,2.9808612440191387
270,Lil Pump,True,1159570,5858509,1546163,4618,2.3333333333333335
271,Barbra Streisand,True,558069,681164,155081,2401,14.736842105263158
272,Rich The Kid,True,1313081,146899,70465,356380,17.11111111111111
273,Juice WRLD,True,468939,1576740,346919,15779,22.90909090909091
274,Machine Gun Kelly,True,1221916,1293822,235847,30334,8.36111111111111
275,James Taylor,True,65123,57470,9371,1795,3.6991869918699187
276,Shinedown,True,346451,36563,4119,12897,18.442307692307693
277,The Piano Guys,True,134132,98647,49810,2288,5.145299145299146
278,Lil Peep,True,498533,1322094,388992,6285,2.6717557251908395
279,French Montana,True,2912626,60914,10955,32022,14.7
280,Travis Tritt,True,83334,21583,2073,22064,60.94117647058823
281,Celine Dion,True,830791,458727,91462,1782,3.1016949152542375
282,Ella Mai,True,308793,790044,175384,4480,17.08
283,PARTYNEXTDOOR,True,1469617,1646090,1294432,262,0.6063953488372092
284,"Rae Sremmurd, Swae Lee & Slim Jxmmi",False,0,0,0,0,0.0
285,Prince And The Revolution,True,324638,306994,125201,740,16.011494252873565
286,Milky Chance,True,75358,54037,8550,1389,2.019559902200489
287,Wale,True,5762903,102849,25499,3866,100.15384615384616
288,Grateful Dead,True,131796,47488,10104,1242,5.2298850574712645
289,Darius Rucker,True,1602342,65347,5936,12623,14.0
290,Pharrell Williams,True,10837167,747814,175365,4554,3.2516129032258063
291,Dustin Lynch,True,863539,168370,26899,11156,6.62621359223301
292,Avicii,True,2015618,409621,102231,3095,1.699588477366255
293,Amine,True,233478,1313726,254089,1316,2.6908602150537635
294,Young Dolph,True,613776,56903,18786,20057,2.5846153846153848
295,John Mayer,True,1460438,1717841,293803,2696,3.6122448979591835
296,Zayn,True,27884952,11769689,3573569,3513,1.8081180811808117
297,Bastille,True,1466958,239586,28472,15114,13.213483146067416
298,Jessie J,True,8827570,240547,42595,20790,5.41578947368421
299,Stevie Wonder,True,54998,817882,274960,84,2.4705882352941178
300,Lord Huron,True,33496,23728,4329,715,1.0479394449116906
301,Anne-Marie,True,473479,221561,24280,16949,102.66666666666667
302,Bee Gees,True,14400,38571,6595,385,3.5
303,Florence + The Machine,True,1079324,905412,138840,2269,8.012048192771084
304,Kid Ink,True,1089144,106109,40268,28456,8.359712230215827
305,Def Leppard,True,771246,203005,29428,11521,9.333333333333334
306,T.I.,True,8470270,237303,81256,19091,9.051724137931034
307,The Beach Boys,True,75096,30631,5850,1046,3.4309210526315788
308,Lindsey Stirling,True,546685,57512,6061,12477,33.67567567567568
309,A Tribe Called Quest,True,81390,19446,5850,1898,4.145015105740181
310,NEEDTOBREATHE,True,230313,29401,2511,5401,8.989473684210527
311,NAV And Metro Boomin,False,0,0,0,0,0.0
312,Mary J. Blige,True,5981698,117265,28325,7092,1.3533333333333333
313,Third Day,True,393491,20914,2970,3851,2.2374429223744294
314,Madonna,True,2311793,1205591,211846,3165,10.167883211678832
315,Zara Larsson,True,1343259,489592,72425,1370,21.7
316,Dwight Yoakam,True,67486,26934,8622,1789,1.7666666666666666
317,A$AP Mob,True,617491,59498,16130,10713,5.32
318,Jay Rock,True,633186,255212,92366,14459,0.6191806331471136
319,Joey Bada$$,True,929850,177451,83100,67,1.8529411764705883
320,Jordan Smith,True,95038,16234,1667,2986,6.147435897435898
321,Aerosmith,True,2047040,144788,26642,5284,4.109311740890688
322,Solange,True,4071540,873341,184406,452,2.2238805970149254
323,Lauv,True,194751,861094,204057,4048,19.884057971014492
324,The Game,True,1079305,22221,5643,28880,8.349397590361447
325,Gwen Stefani,True,2770461,198582,27348,4353,3.3047210300429186
326,Reba,True,2229564,275001,29736,7493,3.3681159420289855
327,Train,True,424487,33367,3729,13489,8.456
328,Skillet,True,536515,148752,20232,2542,3.1199095022624435
329,Daryl Hall John Oates,True,58553,18043,2833,3830,10.23076923076923
330,Lil Wayne,True,33937005,2718237,775446,1965,3.886627906976744
331,Nicky Jam,True,2189738,223655,21909,8832,7.704142011834319
332,Sturgill Simpson,False,0,0,0,0,0.0
333,Kehlani,True,768773,1465057,233858,876,22.365853658536587
334,Hillsong UNITED,True,1188315,70840,15613,4350,1.6842105263157894
335,Niall Horan,True,39305510,7602571,1637630,12981,7.6893939393939394
336,Ruth B,True,1364538,78297,16526,4700,2.109090909090909
337,Anuel AA,False,0,0,0,0,0.0
338,JAY-Z,True,3124783,1072751,710822,262,0.9728978457261988
339,Mannheim Steamroller,True,4992,993,191,11132,11.064516129032258
340,BlocBoy JB,True,65619,28100,9122,9439,3.230769230769231
341,U2,True,1574956,360300,64880,3231,8.135135135135135
342,alt-J,True,510106,70423,10311,3033,3.264423076923077
343,Ne-Yo,True,6815222,34263,4954,16211,13.583333333333334
344,Andrea Bocelli,True,241523,35841,5980,2043,9.141176470588235
345,Zedd,True,8091506,730687,94493,31472,18.82758620689655
346,Huncho Jack,False,0,0,0,0,0.0
347,Burl Ives,False,0,0,0,0,0.0
348,Nat King Cole,True,716,957,268,134,1.4750462107208873
349,Robin Schulz,True,236111,13880,2586,4241,13.16304347826087
350,Lecrae,True,1682859,751225,245995,12773,9.71900826446281
351,The Carters,False,0,0,0,0,0.0
352,Jeezy,True,1253601,82549,41545,8151,3.08
353,BORNS,True,290076,271284,35775,5470,8.54601226993865
354,Gorillaz,True,790113,403157,76498,1587,6.64748201438849
355,Radiohead,True,1876724,288839,125652,154,0.8553054662379421
356,Tyrese,True,3121330,6310,1092,45037,56.583333333333336
357,Andy Williams,True,2236,342,419,102,0.43615052436767426
358,Kirk Franklin,True,1762021,386619,113067,10777,4.619528619528619
359,Bob Dylan,True,337015,63046,33308,622,0.9407514450867052
360,Tech N9ne,True,544910,14101,2632,17932,37.25806451612903
361,August Alsina,True,1049440,199758,49793,34541,0.9137168141592921
362,Adam Lambert,True,2480381,460069,115917,8259,5.631818181818182
363,Van Morrison,True,42642,17862,5467,1220,1.2182061579651942
364,K. Michelle,True,1675486,15495,2663,83932,39.9
365,Fitz And The Tantrums,True,56577,5509,564,6849,4.074626865671642
366,Foreigner,True,110899,29548,5786,2346,3.1216216216216215
367,Chris Cornell,True,1790301,347563,74141,4152,1.8375
368,Muse,True,2690735,203842,38374,2982,10.659090909090908
369,Desiigner,True,1570188,173800,50855,7402,8.029411764705882
370,ABBA,True,44162,141846,27826,394,7.212121212121212
371,Future & Young Thug,False,0,0,0,0,0.0
372,Sublime,False,0,0,0,0,0.0
373,J Balvin,True,5849156,111723,13442,29773,29.225
374,Ice Cube,True,4649478,660333,164242,4596,7.983471074380165
375,Phil Collins,True,146282,447148,175462,270,1.1616766467065869
376,N*E*R*D,True,159372,57643,17834,182,2.339622641509434
377,GoldLink,True,62583,111148,39622,608,1.7374701670644392
378,Carpenters,False,0,0,0,0,0.0
379,Jaden Smith,True,7982014,2167705,340233,5378,14.620253164556962
380,Beck,True,327724,35648,5323,1147,4.057522123893805
381,Chris Brown & Tyga,False,0,0,0,0,0.0
382,Garth Brooks & Trisha Yearwood,False,0,0,0,0,0.0
383,Famous Dex,True,984379,247454,79619,58130,1.4907407407407407
384,Johnny Mathis,True,5545,5665,1590,685,1.7312977099236642
385,Shakira,True,50739782,916580,109952,6125,25.822222222222223
386,Leonard Cohen,False,0,0,0,0,0.0
387,D'Angelo And The Vanguard,False,0,0,0,0,0.0
388,Kygo,True,448139,223531,50969,1536,0.9686684073107049
389,Eric Clapton,True,40540,25391,6519,44,0.3301088270858525
390,Marian Hill,True,104840,26993,4381,6050,9.701754385964913
391,ODESZA,True,173437,178987,33017,6780,8.176
392,Queen Naija,False,0,0,0,0,0.0
393,Joe Bonamassa,True,168516,64569,6872,7003,23.75
394,Bruce Springsteen & The E Street Band,True,1168085,279192,60595,3765,2.18974358974359
395,The Who,True,577464,62710,14291,2564,2.247967479674797
396,Marilyn Manson,True,1176945,1185175,287594,1113,1.6584022038567494
